,Title,Authors,Description,Date,Rating
10,Exam Prep for: The Psychology Book,NA,NA,NA,NA
11,General Psychology,['S K Mangal'],"This book provides valuable insight into the nature and the background of the subject of Psychology. Designed basically as a textbook for general psychology courses of Indian universities, it will also prove useful to those working in the disciplines of sociology, education, social work and social sciences. The subject matter in the text has been presented in such a way that t can be easily grasped by a beginner and appreciated by an advanced reader.",2013-08-01,NA
12,Introduction To Psychology,['Morgan'],NA,2001,NA
13,Abnormal Psychology,['S K Mangal'],"This work provides a workable base for the understanding of basic concepts of abnormal behaviour and abnormal psychology. Starting with the concept, nature and background of abnormal behaviour and abnormal psychology, it takes up the types of abnormalities and disorders of human behaviour and suggests possible treatment by combining physical as well as socio-psychological therapeutic measures. Written in a simple but well organised style, it will prove useful not only to students of abnormal psychology and mental health of the graduate and post-graduate courses, but also to parents and teachers in understanding and improving their own mental health as well as that of people whose welfare is entrusted to them.",2008-10-27,NA
14,The Psychology Book,NA,"All the big ideas, simply explained - an innovative and accessible guide to the study of human nature The Psychology Book clearly explains more than 100 groundbreaking ideas in this fascinating field of science. How does the brain remember faces? What makes us choose one decision over another? Where does language come from? With the use of powerful and easy-to-follow images, quotations from all the major thinkers, and explanations that are easily understandable, this eBook demystifies hard-to-grasp concepts and shows how these have shaped our knowledge of the human mind. All the schools of psychology are covered from cognitive to behavioural psychology making this ideal for students or for anyone with a general interest in this popular area. If you're fascinated by the human mind then The Psychology Book will get you thinking.",2014-02-06,NA
15,Psychology of Stress,['Kimberly V. Oxington'],"Stress is a physical response to an undesirable situation. Mild stress can result from missing the bus, standing in a long line at the store or getting a parking ticket. Stress can also be severe. Divorce, family problems, an assault, or the death of a loved one, for example, can be devastating. One of the most common sources of both mild and severe stress is work. Stress can be short-term (acute) or long-term (chronic). Acute stress is a reaction to an immediate threat -- either real or perceived. Chronic stress involves situations that aren't short-lived, such as relationship problems, workplace pressures, and financial or health worries. Stress is an unavoidable consequence of life. As Hans Selye (who coined the term as it is currently used) noted, ""Without stress, there would be no life"". However, just as distress can cause disease, it seems plausible that there are good stresses that promote wellness. Stress is not always necessarily harmful. Winning a race or an election can be just as stressful as losing, or more so, but may trigger very different biological responses. Increased stress results in increased productivity up to a point. This new book deals with the dazzling complexity of this good-bad phenomenon and presents up-to-date research from throughout the world.",2005,NA
16,Industrial Psychology,NA,NA,1945,NA
17,The Psychology Book,['Wade E. Pickren'],"This stunningly illustrated book in Sterling's 'Milestones' series chronicles the history of psychology through 250 landmark events, theories, publications, experiments and discoveries.",2017-08,NA
18,Applied Psychology,['Graham C. Davey'],"For a significant portion of psychology students, their reason for choosing an undergraduate degree in psychology is their interest in applied psychology and a desire to use psychological knowledge to help solve personal and social problems. With this in mind, this textbook has been designed to satisfy these needs for applied psychology teaching at all undergraduate levels. Applied Psychology is designed to introduce students to the main areas of applied psychology (Clinical Psychology, Health Psychology, Educational Psychology, Occupational Psychology, Forensic Psychology, Sports & Exercise Psychology, Counselling Psychology and Teaching Psychology) from UK, European and international perspectives. It also introduces the core psychological knowledge that underpins these applied and professional areas. As a result, students learn core knowledge from the five main areas of psychology, as well as acquiring a thorough grounding in how this knowledge is applied, and the professional issues associated with that application. Highlights include a broad range of teaching and learning features designed to help the student learn and the teacher teach. These include: Focus Points, Colour Illustrations, Activity Boxes, Research Methods, Case Histories, Self-Test and Essay Questions, Learning Outcomes and Section Summaries, a Glossary as well as Links to Journal Articles and Further Reading. The chapters on Counselling Psychology and Teaching Psychology are available online via the Student Companion Site at: http://tinyurl.com/c3ztvtj The text is written to be accessible to Level 1 Introductory Psychology students, and also to provide the core knowledge and professional information that students at Levels 2 and 3 would require.",2011-05-16,NA
19,Cognitive Psychology,"['Nick Braisby', 'Angus Gellatly']",Rev. ed. of: Cognitive psychology: a methods companion. c2005.,2012-03-01,NA
20,Introduction to Psychology,['James W. Kalat'],"Throughout this text, [the author] ha[s] tried to model the habit of critical thinking or evaluating the evidence, particularly in the ""What's the Evidence"" features, which describe research studies in some detail. [He] point[s] out the limitations of the evidence and the possibilities for alternative interpretations. The goal is to help students ask their own questions, distinguish between good and weak evidence, and ultimately, appreciate the excitement of psychological inquiry.-Pref. to the instructor.",2007,NA
21,"Cambridge Handbook of Psychology, Health and Medicine","['Susan Ayers', 'Andrew Baum', 'Chris McManus', 'Stanton Newman', 'Kenneth Wallston', 'John Weinman', 'Robert West']","Health psychology is a rapidly expanding discipline at the interface of psychology and clinical medicine. This new edition is fully reworked and revised, offering an entirely up-to-date, comprehensive, accessible, one-stop resource for clinical psychologists, mental health professionals and specialists in health-related matters. There are two new editors: Susan Ayers from the University of Sussex and Kenneth Wallston from Vanderbilt University Medical Center. The prestigious editorial team and their international, interdisciplinary cast of authors have reconceptualised their much-acclaimed handbook. The book is now in two parts: part I covers psychological aspects of health and illness, assessments, interventions and healthcare practice. Part II covers medical matters listed in alphabetical order. Among the many new topics added are: diet and health, ethnicity and health, clinical interviewing, mood assessment, communicating risk, medical interviewing, diagnostic procedures, organ donation, IVF, MMR, HRT, sleep disorders, skin disorders, depression and anxiety disorders.",2007-08-23,NA
22,Developmental Psychology,NA,NA,1998,NA
23,Clinical Psychology,['Alan Carr'],"Clinical Psychology is for students studying clinical psychology as part of an undergraduate programme in psychology, nursing, sociology or social and behavioural sciences. Undergraduate students who wish to know if postgraduate study in clinical psychology would be of interest to them will find this book particularly useful. The book will inform students about: the profession of clinical psychology how to get onto a clinical psychology postgraduate training programme the way clinical psychologists work with children, adolescents and adults with common psychological problems the main models of practice used by clinical psychologists, and the scientific evidence for the effectiveness of psychological interventions. There is a focus on both clinical case studies and relevant research, and the book includes summaries, revision questions, advice on further reading and a glossaryof key terms, all of which make it an excellent student-friendly introduction to an exceptionally interesting subject.",2012,NA
24,Simply Psychology,['Michael W. Eysenck'],"This textbook provides a comprehensive account of psychology for all those with little or no previous knowledge of the subject. It covers the main areas of psychology, including social psychology, developmental psychology, cognitive psychology, personality, intelligence, and biological psychology.; Each chapter contains definitions of key terms, together with several multiple-choice questions and answers, and semi- structured essay questions. In addition, every chapter contains a ""Personal Viewpoint"" section, which encourages the reader to compare his or her views on psychology with the relevant findings of psychologists. The last chapter is devoted to study skills, and provides numerous practical hints for readers who want to study more effectively.",2012-12-06,NA
25,Quiet,['Susan Cain'],"Quiet by Susan Cain will change how you think about introverts forever A Sunday Times and New York Times Bestseller Our lives are driven by a fact that most of us can't name and don't understand. It defines who our friends and lovers are, which careers we choose, and whether we blush when we're embarrassed. That fact is whether we're an introvert or an extrovert. The introvert/extrovert divide is the most fundamental dimension of personality. And at least a third of us are on the introverted side. Some of the world's most talented people are introverts. Without them we wouldn't have the Apple computer, the theory of relativity and Van Gogh's sunflowers. Yet extroverts have taken over. Shyness, sensitivity and seriousness are often seen as being negative. Introverts feel reproached for being the way they are. In Quiet, Susan Cain shows how the brain chemistry of introverts and extroverts differs, and how society misunderstands and undervalues introverts. She gives introverts the tools to better understand themselves and take full advantage of their strengths. Passionately argued, superbly researched, and filled with real stories, Quiet will permanently change how we see introverts - and how you see yourself. 'I can't get Quiet out of my head. It is an important book - so persuasive and timely and heartfelt it should inevitably effect change in schools and offices' Jon Ronson, The Guardian 'Susan Cain's Quiet has sparked a quiet revolution. In our booming culture, hers is a still, small voice that punches above its weight. Perhaps rather than sitting back and asking people to speak up, managers and company leaders might lean forward and listen' Megan Walsh, The Times 'Quiet is a very timely book, and Cain's central thesis is fresh and important. Maybe the extrovert ideal is no longer as powerful as it was; perhaps it is time we all stopped to listen to the still, small voice of calm' Daisy Goodwin, The Sunday Times Susan Cain is the owner of The Negotiation Company, a firm that trains people in negotiation and communication skills. Her clients include Merrill Lynch, Standard & Poor, University of Chicago Business School and many of the US's most powerful law firms. She previously practiced corporate law for seven years with Cleary Gottlieb Steen & Hamilton. She lives in New York with her husband and two sons.",2012-03-29,NA
26,An Introduction to Social Psychology,"['Miles Hewstone', 'Wolfgang Stroebe', 'Klaus Jonas']","This text has been specially designed to meet the needs of students at all levels, with contributions written by leading social psychologists, each an acknowledged expert on the topics covered in a given chapter. An Introduction to Social Psychology benefits hugely from an updated range of innovative pedagogical features intended to catch the imagination, combined with a rigorous editorial approach, which results in a cohesive and uniform style accessible to all. Full coverage of all the major theories and topics. Focused discussions of ...",2016-08-22,NA
27,An Introduction To Psychology,['S.K. Mangal'],"Human behaviour is quite complex. Success in interpersonal relations depends on a proper understanding of it. The present book provides an introductory course for this very purpose. It studies human behaviour in its various aspects: physiological, emotional, mental and social. The book will be useful to students of pyschology of different boards of education and universities. For general reader, ir would serve as a workable base for further study of the subject. The subject matter has been presented in a simple, informative style so that the reader may be able to understand essential terminology, facts and concepts abour human behaviour.",1995,NA
28,Psychology for AS Level,['Michael W. Eysenck'],"Now in full colour, this thoroughly revised and updated 3rd edition of Psychology for AS Level takes into account all the latest changes to the AQA-A syllabus since the last edition was published. It remains closely mapped to the specification making it ideal for students taking the AS Level Psychology exam. New to this edition is a strong emphasis on exam technique, giving students the best chance possible of the highest grades. A whole chapter is devoted to how to study and how to pass, with an 'Examiner's Viewpoint' written by the Chief Examiner at AQA-A. Throughout the book are hints and tips on picking up marks, and there are constant page references to the summarised content in our companion AS revision guide. Further examination support is provided by our accompanying student website, AS Online, available on a subscription basis to all schools and sixth form colleges that adopt the text. This includes a Student Workbook, interactive exercises, sample essays, interactive multiple-choice questions, a complete Exam Companion and much more. We also provide teacher resources free of charge to qualifying adopters which include a week-by-week teaching plan, sample essays, chapter-by-chapter lecture presentations, and classroom exercises and activities. Please see http://www.a-levelpsychology.co.uk/online for further details of these resources and a demo chapter of AS Online. The book includes coverage of six key areas in psychology: human memory, attachments in development, stress, abnormality, social influence and research methods. It retains the thorough content, volume of features and excellent writing style of previous editions but the layout is now fully structured to improve accessibility. Unlike other A-Level textbooks which focus solely on passing the exam, ‘Psychology for AS Level’ is also designed to foster an interest in the study of psychology as a subject. To this end, the book includes an additional general chapter to introduce the theories and explanations that make psychology a fascinating discipline.",2005,NA
29,Addiction,"['Paul Davis', 'Robert Patton', 'Sue Jackson']",Provides a comprehensive overview of the psychology of addictions and their treatment across specialities and types of services.,2017-07-24,NA
30,ADVANCED EDUCATIONAL PSYCHOLOGY,['S. K. MANGAL'],"This revised and expanded edition is a sequel to the first edition which was warmly received by the student and teaching community for its indepth analysis and refreshing approach to the subject. Psychology of Individual differences Transfer of Learning or Training Emotional Development and Emotional Intelligence Learning Disabilities and Learning Disabled Children Beginning with an introduction to the nature and scope, and the various schools of psychology, the book dis-cusses the systems propounded by Freud, Adler, Jung and Piaget, taking into account their critical importance to the subject. It then focuses on the psychology of growth and development, psychology of individual differences, motivation, attention and personality, with an emphasis on the individual's attitude towards learning, and the factors influencing learning. The text also elaborates the nature and theories of learning and the aspects of memory such as remembering and forgetting. The cognitive aspect, i.e. intelligence, and vital topics like creativity and the psychology of thinking, reasoning and problem-solving have been accorded due promi-nence. A detailed discussion on exceptional children and learning disabled children together with the educational measures for overcoming such disabilities is also included. The text concludes with an important aspect of human behaviour, namely, adjustment. Interspersed with examples, illustrations and tables, this text is ideally suited for postgraduate students of education and psychology. It can also be profitably used by teachers, teacher-educators, guidance and counselling personnel, and administrators of educational institutions.",2002-01-01,NA
31,The Psychology of Music,['Diana Deutsch'],On interpreting musical phenomena in terms of mental function,1999,NA
32,A Dictionary of Psychology,['Andrew M. Colman'],"Including more than 11,000 definitions, this authoritative and up-to-date dictionary covers all branches of psychology. Clear, concise descriptions for each entry offer extensive coverage of key areas including cognition, sensation and perception, emotion and motivation, learning and skills, language, mental disorder, and research methods. The range of entries extends to related disciplines including psychoanalysis, psychiatry, the neurosciences, and statistics. Entries are extensively cross-referenced for ease of use, and cover word origins and derivations as well as definitions. More than 100 illustrations complement the text. This fourth edition has incorporated a large number of significant revisions and additions, many in response to the 2013 publication of the American Psychiatric Association's latest edition of Diagnostic and Statistical Manual of Mental Disorders, bringing the Dictionary fully up to date with the most recent literature of the subject. In addition to the alphabetical entries, the dictionary also includes appendices covering over 800 commonly used abbreviations and symbols, as well as a list of phobias and phobic stimuli, with definitions. Comprehensive and clearly written, this dictionary is an invaluable work of reference for students, lecturers, and the general reader with an interest in psychology.",2015,NA
33,What is Psychology?,['Andrew M. Colman'],"This clear and lively introduction to psychology assumes no prior knowledge of the subject. Extensively revised and updated, this third edition describes psychology as it is taught at universitues. Examples are used throughout to illustrate fundamental ideas, with a self-assessment quiz focusing readers' minds on a number of intriguing psychological problems. The differences betwen psychology, psychiatry and psychoanalysis are explained, and the professions and careers associated with psychology are explored. Suggestions for further reading and useful internet sites are included.",1999,NA
34,A Text-book in Psychology,['Johann Friedrich Herbart'],NA,1891,NA
35,Health Psychology,['Anthony J. Curtis'],"""Health Psychology is tailor-made for the student new to higher-level study. With its helpful textbook features provided to assist in examination and learning techniques, it should interest all introductory psychology students, as well as those training for the caring services, whether nurses, paramedics or social workers.""--BOOK JACKET.",2000,NA
36,The Nature of Psychology,['Kenneth J. W. Craik'],"This selection of papers from Kenneth Craik, explores the measurement of perception, sensory physiology and the relationship of nervous function to machines.",1966,NA
37,The Philosophy of Psychology,"['George Botterill', 'Peter Carruthers']",An accessible analysis of the relationship between folk psychology and contemporary scientific psychology.,1999-08-19,NA
38,Social Psychology,"['Arie W. Kruglanski', 'Edward Tory Higgins']","Now in a completely revised and expanded second edition, this authoritative handbook reviews the breadth of current knowledge on the psychological processes that underlie social behavior. Leading investigators identify core principles that have emerged from the study of biological systems, social cognition, goals and strivings, interpersonal interactions, and group and cultural dynamics. State-of-the-science theories, methods, and findings are explained, and important directions for future research are highlighted. More than an update, this edition is virtually a new book. Many more chapters are included, and significant advances in social cognitive neuroscience, motivational psychology, and other areas are incorporated throughout. A new section addresses implications for applied domains, such as clinical psychology, health, and consumer behavior.",2007-04-19,NA
39,Statistics in Biology & Psychology,['D. Das & A. Das'],NA,1980,NA
0,Social Psychology,"['Arie W. Kruglanski', 'Edward Tory Higgins']","Now in a completely revised and expanded second edition, this authoritative handbook reviews the breadth of current knowledge on the psychological processes that underlie social behavior. Leading investigators identify core principles that have emerged from the study of biological systems, social cognition, goals and strivings, interpersonal interactions, and group and cultural dynamics. State-of-the-science theories, methods, and findings are explained, and important directions for future research are highlighted. More than an update, this edition is virtually a new book. Many more chapters are included, and significant advances in social cognitive neuroscience, motivational psychology, and other areas are incorporated throughout. A new section addresses implications for applied domains, such as clinical psychology, health, and consumer behavior.",2007-04-19,NA
1,Statistics in Biology & Psychology,['D. Das & A. Das'],NA,1980,NA
2,Handbook of Personality Psychology,"['Robert Goode Hogan', 'Robert Hogan', 'John A. Johnson', 'John Myrton Johnson', 'Stephen R. Briggs']","The most comprehensive single volume ever published on the subject, the Handbook of Personality Psychology is the end-all, must-have reference work for personality psychologists. This handbook discusses the development and measurement of personality as well as biological and social determinants, dynamic personality processes, the personality's relation to the self, and personality in relation to applied psychology. Authored by the field's most respected researchers, each chapter provides a concise summary of the subject to date. Topics include such areas as individual differences, stability of personality, evolutionary foundations of personality, cross-cultural perspectives, emotion, psychological defenses, and the connection between personality and health. Intended for an advanced audience, the Handbook of Personality Psychology will be your foremost resource in this diverse field.",1997,NA
3,Complete Psychology,"['Graham Davey', 'Christopher Sterling', 'Andy Field']","The new edition of Complete Psychology is the definitive undergraduate textbook. It not only fits exactly with the very latest BPS curriculum and offers integrated web support for students and lecturers, but it also includes guidance on study skills, research methods, statistics and careers. Complete Psychology provides excellent coverage of the major areas of study . Each chapter has been fully updated to reflect changes in the field and to include examples of psychology in applied settings, and further reading sections have been expanded. The companion website, www.completepsychology.co.uk, has also been fully revised and now contains chapter summaries, author pages, downloadable presentations, useful web links, multiple choice questions, essay questions and an electronic glossary. Written by an experienced and respected team of authors, this highly accessible, comprehensive text is illustrated in full colour, and quite simply covers everything students need for their first-year studies as well as being an invaluable reference and revision tool for second and third years.",2014-09-25,NA
4,The Psychology Book,['Nigel Benson'],The Psychology Book: Big Ideas Simply Explained By Nigel Benson,2017-07-22,NA
5,Educational Psychology,['S.N. Rao'],"The Basic Approach Of The Book Is That, Educational Psychology Is A Scientific Study Of The Psychological Problems Of Educational Practice. The Educational Psychologist In This Context Has The Role Of A Specialist Who Provides The Necessary Technical Advice To Educational Planners, Administrators And Teachers In Helping Them To Achieve Their Objectives. The Book Follows This Point Of View In Presenting The Subject Matter To The Reader And Aims To Fulfill The Need Of A Quality Indian Text Meeting The Requirements Of Students And Teachers In The Faculties Of Psychology And Education.The Book Aims To Cover The Field Of Educational Psychology And Strives To Present A Comprehensive Book From The Psychological Point Of View Not Available In India To Study The Subject In Its Appropriate Perspective. In Addition To The Discussion Of Conventional Topics, Much Attention Has Been Bestowed On Such Vital Issues As Teaching For Values, Scholastic Achievement, Adjustment, Disadvantaged Students, Discipline And Guidance Needs Related To Education. The Students Would Find The Discussion Stimulating And Useful.",2002,NA
6,AQA A-level Psychology Book 1,"['Jean-Marc Lawton', 'Eleanor Willard']","Exam Board: AQA Level: AS/A-level Subject: Psychology First Teaching: September 2015 First Exam: June 2016 AQA Approved Equip your students with the knowledge and the skills that they need for the new AQA Psychology AS and A-level; guidance on assessment objectives, activities and clear, comprehensive coverage consolidates understanding and develops key skills to ensure progression - Thoroughly engage your students with Psychology at AS and A-level through extensive real-life contemporary research - Ensure your students learn and understand content for all the key topics with popular clear, accessible style from Jean-Marc Lawton and Eleanor Willard - Help your students understand the assessment objectives and develop their examination skills with assessment guidance and checks throughout and practice questions - Ensure progression and encourage independent thinking with extension suggestions and activities - Supports co-teaching of AS and year one A-level for the new AQA specification",2015-04-24,NA
7,Psychology: A Very Short Introduction,"['Gillian Butler', 'Freda McManus']","""Fully updated new edition""--Label on cover.",2014,NA
8,Metaphors in the History of Psychology,['David E. Leary'],"Arguing that psychologists and their predecessors have invariably relied on metaphors in articulation, the contributors to this volume offer a new ""key"" to understanding a critically important area of human knowledge by specifying the major metaphors.",1994-07-29,NA
9,Perspectives on Psychology,['Michael W. Eysenck'],"This is a title in the modular ""Principles in Psychology Series"", designed for A-level and other introductory courses, aiming to provide students embarking on psychology courses with the necessary background and context. One aspect of this is to consider contemporary psychology in the light of its historical development. Another aspect is to examine some of the major controversies which have dominated psychology over the centuries. Yet another aspect is to consider some of the major areas of psychology eg social, developmental, cognitive in terms of what they have to offer in the quest for an understanding of human behaviour.; The book also addresses key issues which need to be considered as psychology matures into a fully fledged experimental and scientific discipline. For example, how much do laboratory experiments tell us about how people behave in the real world? And how far is it ethically permissable for psychologists to go in their pursuit of knowledge?",1994,NA
10,Psychology in Elite Soccer,"['Jamie Barker', 'Joe Dixon']","Sports psychology; exploring the effects of psychological interventions on important performance-related outcomes, has become ever more popular and prevalent within elite level soccer clubs in the past decade as teams look to gain psychological as well as physiological advantages over their competitors. Psychology in Elite Soccer; More Than Just a Game seeks to present ta detailed understanding of the theories underpinning the psychological issues relating to soccer along with practical insights into effective psychological interventions and strategies This book uses contemporary theory and research to elucidate key concepts and applied interventions and will include world-leading expert commentaries of contemporary theoretical and applied approaches in understanding critical issues in soccer along with providing practical implications and insights into working effectively in soccer-related contexts. Psychology in Elite Soccer; More Than Just a Game is an evidence-based resource to guide research and facilitate practice and will be a vital resource for researchers, practitioners and coaches within the area of sport psychology and related disciplines.",2020-03-30,NA
11,The Dictionary of Psychology,['Raymond J. Corsini'],"The most comprehensive up-to-date reference of its kind, user friendly with a clear and functional design. The Dictionary offers over 30,000 entries, (including interdisciplinary terms and slang), 125 illustrations and extensive cross-referencing.",1999,NA
12,Psychology,['Alan Porter'],"The perfect introduction to psychology, this title covers every major subject of psychology and every methodology. Including helpful diagrams, summary sections, ideas for further reading and questions to consider, you will soon be able to understand the differences between Freud and Jung, its relationship to neuroscience and physiology, and how psychology is used in our everyday lives.",2018,NA
13,Media Psychology,['David Giles'],"Media Psychology examines the impact that 21st century media use has on human behavior, from teenage crushes on pop stars to soap fandom in adulthood. It brings together North American communication research with European media research in a variety of disciplines--psychology, sociology, communication and media studies--and in doing so, maps out the territory for media psychology. David Giles argues that psychologists have been guilty of ignoring the influence of the media over the last century, seeing it at best as a minor nuisance that will eventually go away. However, with the increasing prevalence of new electronic forms of mass communication, the media seem to have a greater influence than ever over our daily lives. In this book, Dr. Giles tackles the traditional topics of media psychology--sex, violence, advertising--along with sections on developmental aspects of media influence and the psychology of the audience. He also examines a number of specific media genres--news, sports, soaps, and the increasingly popular audience participation media, such as ""reality"" and ""lifestyle"" television. In addition, he asks what light psychology can shed on the popularity of these genres and the response of their audiences. Finally, there are chapters on the increasing influence of the Internet and on the representation of psychology and psychologists themselves in the media.",2003-04-02,NA
14,The Little Book of Psychology,NA,"Brimming with more than 20 exciting, educational activities and projects that focus on techy and electronics topics, this is the perfect inspirational guide for young experimenters. Build your own bristlebot, power a propeller motorboat, make a matchbox microphone, and construct a crane by following step-by-step instructions and using affordable equipment. Maker Lab STEM will engage budding scientists as they experiment, invent, trial and test technology, electronics, and mechanics at home. Simple steps with clear photographs take readers through the stages of each low-cost project, with fact-filled panels to explain the science behind each one and to fascinate them with real-world examples. With an increasing focus across school curricula on encouraging children to enjoy and explore STEM subjects (science, technology, engineering, and maths), Maker Lab STEM is the perfect companion for any inquisitive child with an interest in technology and how it works.",2018-08-07,NA
15,The Sociology Book,"['Sarah Tomley', 'Mitchell Hobbs', 'Megan Todd', 'Marcus Weeks', 'DK']","Exploring more than 80 big ideas and key theories in a clear and simple way, this is the perfect introduction to the study of how humans live and interact with one another. Covering diversity and equality, globalization, human rights, modern urban living, and the role of work and institutions, this book looks at the big questions of how we co-operate: What is society? What makes it tick? Why do we interact in the way that we do with our friends, co-workers, and rivals? The perfect way to explore this fascinating subject, The Sociology Book profiles the world's most renowned sociologists and their biggest ideas, from the pioneers Karl Marx and Auguste Comte to the groundbreaking work of Sharon Zukin and Judith Butler. Each sociological theory is made crystal clear with the help of quirky graphics, pithy quotes, and step-by-step summaries that explain each idea in an easy-to-grasp way.",2015-08-13,NA
16,A Source Book of Gestalt Psychology,['Willis D. Ellis'],"""First Published in 1999, Routledge is an imprint of Taylor & Francis, an informa company.""",1999,NA
